device,NVIDIA GB10,driver_api,13000,header,13040,sms,48,minimum,2097152,recommended,2097152
sample_header,mode,bytes,iteration,operation,host_us,kernel_ms,pending_after
sample,idle,2097152,0,create,51.375,0.000,0
sample,idle,2097152,0,map,0.624,0.000,0
sample,idle,2097152,0,access,37.392,0.000,0
sample,idle,2097152,0,unmap,57.215,0.000,0
sample,idle,2097152,0,release,27.264,0.000,0
sample,idle,2097152,1,create,51.663,0.000,0
sample,idle,2097152,1,map,0.576,0.000,0
sample,idle,2097152,1,access,36.272,0.000,0
sample,idle,2097152,1,unmap,54.863,0.000,0
sample,idle,2097152,1,release,27.152,0.000,0
sample,idle,2097152,2,create,51.472,0.000,0
sample,idle,2097152,2,map,0.512,0.000,0
sample,idle,2097152,2,access,37.167,0.000,0
sample,idle,2097152,2,unmap,55.072,0.000,0
sample,idle,2097152,2,release,27.792,0.000,0
sample,idle,2097152,3,create,51.791,0.000,0
sample,idle,2097152,3,map,0.528,0.000,0
sample,idle,2097152,3,access,39.008,0.000,0
sample,idle,2097152,3,unmap,55.935,0.000,0
sample,idle,2097152,3,release,27.680,0.000,0
sample,idle,2097152,4,create,51.200,0.000,0
sample,idle,2097152,4,map,0.528,0.000,0
sample,idle,2097152,4,access,36.799,0.000,0
sample,idle,2097152,4,unmap,54.128,0.000,0
sample,idle,2097152,4,release,27.007,0.000,0
sample,idle,2097152,5,create,50.912,0.000,0
sample,idle,2097152,5,map,0.528,0.000,0
sample,idle,2097152,5,access,36.928,0.000,0
sample,idle,2097152,5,unmap,57.056,0.000,0
sample,idle,2097152,5,release,26.944,0.000,0
sample,idle,2097152,6,create,50.335,0.000,0
sample,idle,2097152,6,map,0.480,0.000,0
sample,idle,2097152,6,access,37.120,0.000,0
sample,idle,2097152,6,unmap,54.271,0.000,0
sample,idle,2097152,6,release,27.248,0.000,0
sample,idle,2097152,7,create,50.800,0.000,0
sample,idle,2097152,7,map,0.528,0.000,0
sample,idle,2097152,7,access,36.863,0.000,0
sample,idle,2097152,7,unmap,54.400,0.000,0
sample,idle,2097152,7,release,27.103,0.000,0
sample,idle,2097152,8,create,50.832,0.000,0
sample,idle,2097152,8,map,0.480,0.000,0
sample,idle,2097152,8,access,36.960,0.000,0
sample,idle,2097152,8,unmap,56.655,0.000,0
sample,idle,2097152,8,release,27.440,0.000,0
sample,idle,2097152,9,create,50.543,0.000,0
sample,idle,2097152,9,map,0.560,0.000,0
sample,idle,2097152,9,access,36.928,0.000,0
sample,idle,2097152,9,unmap,54.288,0.000,0
sample,idle,2097152,9,release,27.167,0.000,0
sample,idle,2097152,10,create,50.880,0.000,0
sample,idle,2097152,10,map,0.544,0.000,0
sample,idle,2097152,10,access,36.688,0.000,0
sample,idle,2097152,10,unmap,57.456,0.000,0
sample,idle,2097152,10,release,27.280,0.000,0
sample,idle,2097152,11,create,51.007,0.000,0
sample,idle,2097152,11,map,0.544,0.000,0
sample,idle,2097152,11,access,36.592,0.000,0
sample,idle,2097152,11,unmap,53.087,0.000,0
sample,idle,2097152,11,release,27.184,0.000,0
sample,idle,2097152,12,create,49.936,0.000,0
sample,idle,2097152,12,map,0.512,0.000,0
sample,idle,2097152,12,access,36.767,0.000,0
sample,idle,2097152,12,unmap,55.312,0.000,0
sample,idle,2097152,12,release,26.864,0.000,0
