device,NVIDIA GB10,driver_api,13000,header,13040,sms,48,minimum,2097152,recommended,2097152
sample_header,mode,bytes,iteration,operation,host_us,kernel_ms,pending_after
sample,idle,2097152,25,access,35.727,0.000,0
sample,idle,2097152,25,unmap,46.336,0.000,0
sample,idle,2097152,25,release,27.296,0.000,0
sample,idle,2097152,26,create,48.511,0.000,0
sample,idle,2097152,26,map,0.512,0.000,0
sample,idle,2097152,26,access,35.600,0.000,0
sample,idle,2097152,26,unmap,47.151,0.000,0
sample,idle,2097152,26,release,27.072,0.000,0
sample,idle,2097152,27,create,48.816,0.000,0
sample,idle,2097152,27,map,0.464,0.000,0
sample,idle,2097152,27,access,35.919,0.000,0
sample,idle,2097152,27,unmap,46.816,0.000,0
sample,idle,2097152,27,release,25.472,0.000,0
sample,idle,2097152,28,create,50.448,0.000,0
sample,idle,2097152,28,map,0.480,0.000,0
sample,idle,2097152,28,access,36.080,0.000,0
sample,idle,2097152,28,unmap,46.287,0.000,0
sample,idle,2097152,28,release,26.768,0.000,0
sample,idle,2097152,29,create,48.544,0.000,0
sample,idle,2097152,29,map,0.528,0.000,0
sample,idle,2097152,29,access,34.831,0.000,0
sample,idle,2097152,29,unmap,45.104,0.000,0
sample,idle,2097152,29,release,26.016,0.000,0
sample,idle,2097152,30,create,48.687,0.000,0
sample,idle,2097152,30,map,0.464,0.000,0
sample,idle,2097152,30,access,34.432,0.000,0
sample,idle,2097152,30,unmap,46.047,0.000,0
sample,idle,2097152,30,release,26.368,0.000,0
sample,idle,2097152,31,create,48.768,0.000,0
sample,idle,2097152,31,map,0.480,0.000,0
sample,idle,2097152,31,access,35.487,0.000,0
sample,idle,2097152,31,unmap,45.808,0.000,0
sample,idle,2097152,31,release,26.880,0.000,0
sample,idle,2097152,32,create,48.783,0.000,0
sample,idle,2097152,32,map,0.448,0.000,0
sample,idle,2097152,32,access,35.536,0.000,0
sample,idle,2097152,32,unmap,44.975,0.000,0
sample,idle,2097152,32,release,26.544,0.000,0
sample,idle,2097152,33,create,48.816,0.000,0
sample,idle,2097152,33,map,0.560,0.000,0
sample,idle,2097152,33,access,34.543,0.000,0
sample,idle,2097152,33,unmap,45.504,0.000,0
sample,idle,2097152,33,release,26.896,0.000,0
sample,idle,2097152,34,create,48.639,0.000,0
sample,idle,2097152,34,map,0.512,0.000,0
sample,idle,2097152,34,access,34.624,0.000,0
sample,idle,2097152,34,unmap,46.687,0.000,0
sample,idle,2097152,34,release,27.104,0.000,0
sample,idle,2097152,35,create,48.816,0.000,0
sample,idle,2097152,35,map,0.512,0.000,0
sample,idle,2097152,35,access,35.807,0.000,0
sample,idle,2097152,35,unmap,45.216,0.000,0
sample,idle,2097152,35,release,26.512,0.000,0
sample,idle,2097152,36,create,48.591,0.000,0
sample,idle,2097152,36,map,0.528,0.000,0
sample,idle,2097152,36,access,34.720,0.000,0
sample,idle,2097152,36,unmap,43.887,0.000,0
sample,idle,2097152,36,release,26.256,0.000,0
sample,idle,2097152,37,create,49.200,0.000,0
sample,idle,2097152,37,map,0.496,0.000,0
sample,idle,2097152,37,access,36.559,0.000,0
sample,idle,2097152,37,unmap,45.840,0.000,0
sample,idle,2097152,37,release,26.319,0.000,0
sample,idle,2097152,38,create,48.608,0.000,0
sample,idle,2097152,38,map,0.496,0.000,0
sample,idle,2097152,38,access,36.176,0.000,0
sample,idle,2097152,38,unmap,46.991,0.000,0
sample,idle,2097152,38,release,26.816,0.000,0
sample,idle,2097152,39,create,48.720,0.000,0
sample,idle,2097152,39,map,0.464,0.000,0
sample,idle,2097152,39,access,35.439,0.000,0
sample,idle,2097152,39,unmap,45.216,0.000,0
sample,idle,2097152,39,release,26.255,0.000,0
sample,idle,2097152,40,create,48.816,0.000,0
sample,idle,2097152,40,map,0.528,0.000,0
sample,idle,2097152,40,access,36.016,0.000,0
sample,idle,2097152,40,unmap,47.247,0.000,0
sample,idle,2097152,40,release,26.944,0.000,0
sample,idle,2097152,41,create,48.880,0.000,0
sample,idle,2097152,41,map,0.496,0.000,0
sample,idle,2097152,41,access,36.607,0.000,0
sample,idle,2097152,41,unmap,43.632,0.000,0
sample,idle,2097152,41,release,25.871,0.000,0
sample,idle,2097152,42,create,48.720,0.000,0
sample,idle,2097152,42,map,0.560,0.000,0
sample,idle,2097152,42,access,34.416,0.000,0
sample,idle,2097152,42,unmap,44.175,0.000,0
sample,idle,2097152,42,release,25.392,0.000,0
sample,idle,2097152,43,create,48.912,0.000,0
sample,idle,2097152,43,map,0.464,0.000,0
sample,idle,2097152,43,access,34.223,0.000,0
sample,idle,2097152,43,unmap,43.392,0.000,0
sample,idle,2097152,43,release,25.712,0.000,0
sample,idle,2097152,44,create,49.135,0.000,0
sample,idle,2097152,44,map,0.528,0.000,0
sample,idle,2097152,44,access,34.464,0.000,0
sample,idle,2097152,44,unmap,43.359,0.000,0
sample,idle,2097152,44,release,26.064,0.000,0
sample,idle,2097152,45,create,50.944,0.000,0
sample,idle,2097152,45,map,0.528,0.000,0
sample,idle,2097152,45,access,34.511,0.000,0
sample,idle,2097152,45,unmap,42.688,0.000,0
sample,idle,2097152,45,release,25.696,0.000,0
sample,idle,2097152,46,create,48.591,0.000,0
sample,idle,2097152,46,map,0.512,0.000,0
sample,idle,2097152,46,access,38.464,0.000,0
sample,idle,2097152,46,unmap,43.407,0.000,0
sample,idle,2097152,46,release,26.736,0.000,0
sample,idle,2097152,47,create,48.880,0.000,0
sample,idle,2097152,47,map,0.480,0.000,0
sample,idle,2097152,47,access,34.639,0.000,0
sample,idle,2097152,47,unmap,43.360,0.000,0
sample,idle,2097152,47,release,26.304,0.000,0
sample,idle,2097152,48,create,49.167,0.000,0
sample,idle,2097152,48,map,0.480,0.000,0
sample,idle,2097152,48,access,34.704,0.000,0
sample,idle,2097152,48,unmap,43.455,0.000,0
sample,idle,2097152,48,release,25.664,0.000,0
sample,idle,2097152,49,create,48.720,0.000,0
sample,idle,2097152,49,map,0.480,0.000,0
