device,NVIDIA GB10,driver_api,13000,header,13040,sms,48,minimum,2097152,recommended,2097152
sample_header,mode,bytes,iteration,operation,host_us,kernel_ms,pending_after
sample,idle,2097152,0,create,54.064,0.000,0
sample,idle,2097152,0,map,0.640,0.000,0
sample,idle,2097152,0,access,37.664,0.000,0
sample,idle,2097152,0,unmap,62.240,0.000,0
sample,idle,2097152,0,release,27.408,0.000,0
sample,idle,2097152,1,create,54.111,0.000,0
sample,idle,2097152,1,map,0.608,0.000,0
sample,idle,2097152,1,access,37.456,0.000,0
sample,idle,2097152,1,unmap,62.383,0.000,0
sample,idle,2097152,1,release,27.168,0.000,0
sample,idle,2097152,2,create,53.983,0.000,0
sample,idle,2097152,2,map,0.592,0.000,0
sample,idle,2097152,2,access,37.920,0.000,0
sample,idle,2097152,2,unmap,62.031,0.000,0
sample,idle,2097152,2,release,27.600,0.000,0
sample,idle,2097152,3,create,53.936,0.000,0
sample,idle,2097152,3,map,0.592,0.000,0
sample,idle,2097152,3,access,37.951,0.000,0
sample,idle,2097152,3,unmap,62.480,0.000,0
sample,idle,2097152,3,release,27.423,0.000,0
sample,idle,2097152,4,create,54.256,0.000,0
sample,idle,2097152,4,map,0.656,0.000,0
sample,idle,2097152,4,access,37.872,0.000,0
sample,idle,2097152,4,unmap,63.023,0.000,0
sample,idle,2097152,4,release,27.136,0.000,0
sample,idle,2097152,5,create,54.047,0.000,0
sample,idle,2097152,5,map,0.608,0.000,0
sample,idle,2097152,5,access,37.360,0.000,0
sample,idle,2097152,5,unmap,62.991,0.000,0
sample,idle,2097152,5,release,26.992,0.000,0
sample,idle,2097152,6,create,53.472,0.000,0
sample,idle,2097152,6,map,0.544,0.000,0
sample,idle,2097152,6,access,37.695,0.000,0
sample,idle,2097152,6,unmap,65.071,0.000,0
sample,idle,2097152,6,release,27.840,0.000,0
sample,idle,2097152,7,create,54.064,0.000,0
sample,idle,2097152,7,map,0.528,0.000,0
sample,idle,2097152,7,access,40.527,0.000,0
sample,idle,2097152,7,unmap,61.920,0.000,0
sample,idle,2097152,7,release,27.343,0.000,0
sample,idle,2097152,8,create,54.304,0.000,0
sample,idle,2097152,8,map,0.576,0.000,0
sample,idle,2097152,8,access,37.408,0.000,0
sample,idle,2097152,8,unmap,62.111,0.000,0
sample,idle,2097152,8,release,27.616,0.000,0
sample,idle,2097152,9,create,53.727,0.000,0
sample,idle,2097152,9,map,0.576,0.000,0
sample,idle,2097152,9,access,48.592,0.000,0
sample,idle,2097152,9,unmap,64.399,0.000,0
sample,idle,2097152,9,release,27.456,0.000,0
sample,idle,2097152,10,create,53.535,0.000,0
sample,idle,2097152,10,map,0.576,0.000,0
sample,idle,2097152,10,access,44.352,0.000,0
sample,idle,2097152,10,unmap,73.871,0.000,0
sample,idle,2097152,10,release,53.456,0.000,0
sample,idle,2097152,11,create,54.271,0.000,0
sample,idle,2097152,11,map,0.512,0.000,0
sample,idle,2097152,11,access,39.776,0.000,0
sample,idle,2097152,11,unmap,69.023,0.000,0
sample,idle,2097152,11,release,54.720,0.000,0
sample,idle,2097152,12,create,53.935,0.000,0
sample,idle,2097152,12,map,0.592,0.000,0
sample,idle,2097152,12,access,215.519,0.000,0
sample,idle,2097152,12,unmap,64.944,0.000,0
sample,idle,2097152,12,release,27.391,0.000,0
sample,idle,2097152,13,create,54.032,0.000,0
sample,idle,2097152,13,map,0.576,0.000,0
sample,idle,2097152,13,access,38.752,0.000,0
sample,idle,2097152,13,unmap,63.104,0.000,0
sample,idle,2097152,13,release,27.792,0.000,0
sample,idle,2097152,14,create,53.887,0.000,0
sample,idle,2097152,14,map,0.528,0.000,0
sample,idle,2097152,14,access,37.952,0.000,0
sample,idle,2097152,14,unmap,64.239,0.000,0
sample,idle,2097152,14,release,26.944,0.000,0
sample,idle,2097152,15,create,54.096,0.000,0
sample,idle,2097152,15,map,0.544,0.000,0
sample,idle,2097152,15,access,38.351,0.000,0
sample,idle,2097152,15,unmap,66.415,0.000,0
sample,idle,2097152,15,release,32.784,0.000,0
sample,idle,2097152,16,create,54.224,0.000,0
sample,idle,2097152,16,map,0.608,0.000,0
sample,idle,2097152,16,access,37.951,0.000,0
sample,idle,2097152,16,unmap,63.536,0.000,0
sample,idle,2097152,16,release,27.519,0.000,0
sample,idle,2097152,17,create,53.904,0.000,0
sample,idle,2097152,17,map,0.592,0.000,0
sample,idle,2097152,17,access,43.871,0.000,0
sample,idle,2097152,17,unmap,62.704,0.000,0
sample,idle,2097152,17,release,27.216,0.000,0
sample,idle,2097152,18,create,55.232,0.000,0
sample,idle,2097152,18,map,0.640,0.000,0
sample,idle,2097152,18,access,38.623,0.000,0
sample,idle,2097152,18,unmap,65.200,0.000,0
sample,idle,2097152,18,release,27.055,0.000,0
sample,idle,2097152,19,create,53.952,0.000,0
sample,idle,2097152,19,map,0.576,0.000,0
sample,idle,2097152,19,access,38.288,0.000,0
sample,idle,2097152,19,unmap,64.160,0.000,0
sample,idle,2097152,19,release,26.768,0.000,0
sample,idle,2097152,20,create,54.239,0.000,0
sample,idle,2097152,20,map,0.544,0.000,0
sample,idle,2097152,20,access,38.448,0.000,0
sample,idle,2097152,20,unmap,64.911,0.000,0
sample,idle,2097152,20,release,27.072,0.000,0
sample,idle,2097152,21,create,54.431,0.000,0
sample,idle,2097152,21,map,0.576,0.000,0
sample,idle,2097152,21,access,37.760,0.000,0
sample,idle,2097152,21,unmap,62.239,0.000,0
sample,idle,2097152,21,release,26.768,0.000,0
sample,idle,2097152,22,create,53.888,0.000,0
sample,idle,2097152,22,map,0.560,0.000,0
sample,idle,2097152,22,access,38.159,0.000,0
sample,idle,2097152,22,unmap,63.840,0.000,0
sample,idle,2097152,22,release,27.280,0.000,0
sample,idle,2097152,23,create,53.312,0.000,0
sample,idle,2097152,23,map,0.512,0.000,0
sample,idle,2097152,23,access,37.744,0.000,0
sample,idle,2097152,23,unmap,62.175,0.000,0
sample,idle,2097152,23,release,27.232,0.000,0
sample,idle,2097152,24,create,53.311,0.000,0
sample,idle,2097152,24,map,0.560,0.000,0
sample,idle,2097152,24,access,37.872,0.000,0
sample,idle,2097152,24,unmap,62.063,0.000,0
sample,idle,2097152,24,release,27.664,0.000,0
sample,idle,2097152,25,create,53.968,0.000,0
sample,idle,2097152,25,map,0.576,0.000,0
sample,idle,2097152,25,access,39.903,0.000,0
sample,idle,2097152,25,unmap,64.768,0.000,0
sample,idle,2097152,25,release,27.439,0.000,0
sample,idle,2097152,26,create,54.240,0.000,0
sample,idle,2097152,26,map,0.592,0.000,0
sample,idle,2097152,26,access,37.616,0.000,0
sample,idle,2097152,26,unmap,63.616,0.000,0
sample,idle,2097152,26,release,27.312,0.000,0
sample,idle,2097152,27,create,54.031,0.000,0
sample,idle,2097152,27,map,0.544,0.000,0
sample,idle,2097152,27,access,38.128,0.000,0
sample,idle,2097152,27,unmap,63.343,0.000,0
sample,idle,2097152,27,release,27.280,0.000,0
sample,idle,2097152,28,create,53.359,0.000,0
sample,idle,2097152,28,map,0.560,0.000,0
sample,idle,2097152,28,access,37.760,0.000,0
sample,idle,2097152,28,unmap,63.615,0.000,0
sample,idle,2097152,28,release,27.440,0.000,0
sample,idle,2097152,29,create,53.824,0.000,0
sample,idle,2097152,29,map,0.512,0.000,0
sample,idle,2097152,29,access,37.423,0.000,0
sample,idle,2097152,29,unmap,62.112,0.000,0
sample,idle,2097152,29,release,26.511,0.000,0
sample,idle,2097152,30,create,56.272,0.000,0
sample,idle,2097152,30,map,0.544,0.000,0
sample,idle,2097152,30,access,37.248,0.000,0
sample,idle,2097152,30,unmap,63.584,0.000,0
sample,idle,2097152,30,release,27.264,0.000,0
sample,idle,2097152,31,create,53.375,0.000,0
sample,idle,2097152,31,map,0.528,0.000,0
sample,idle,2097152,31,access,37.856,0.000,0
sample,idle,2097152,31,unmap,62.847,0.000,0
sample,idle,2097152,31,release,27.168,0.000,0
sample,idle,2097152,32,create,52.927,0.000,0
sample,idle,2097152,32,map,0.512,0.000,0
sample,idle,2097152,32,access,37.616,0.000,0
sample,idle,2097152,32,unmap,63.535,0.000,0
sample,idle,2097152,32,release,26.784,0.000,0
sample,idle,2097152,33,create,53.072,0.000,0
sample,idle,2097152,33,map,0.576,0.000,0
sample,idle,2097152,33,access,37.487,0.000,0
sample,idle,2097152,33,unmap,62.880,0.000,0
sample,idle,2097152,33,release,26.815,0.000,0
sample,idle,2097152,34,create,53.200,0.000,0
sample,idle,2097152,34,map,0.544,0.000,0
sample,idle,2097152,34,access,37.568,0.000,0
sample,idle,2097152,34,unmap,64.367,0.000,0
sample,idle,2097152,34,release,26.896,0.000,0
sample,idle,2097152,35,create,55.983,0.000,0
sample,idle,2097152,35,map,0.544,0.000,0
sample,idle,2097152,35,access,37.712,0.000,0
sample,idle,2097152,35,unmap,62.207,0.000,0
sample,idle,2097152,35,release,26.768,0.000,0
sample,idle,2097152,36,create,53.376,0.000,0
sample,idle,2097152,36,map,0.608,0.000,0
sample,idle,2097152,36,access,37.887,0.000,0
sample,idle,2097152,36,unmap,64.543,0.000,0
sample,idle,2097152,36,release,26.800,0.000,0
sample,idle,2097152,37,create,53.632,0.000,0
sample,idle,2097152,37,map,0.544,0.000,0
sample,idle,2097152,37,access,38.223,0.000,0
sample,idle,2097152,37,unmap,62.368,0.000,0
sample,idle,2097152,37,release,26.895,0.000,0
sample,idle,2097152,38,create,53.392,0.000,0
sample,idle,2097152,38,map,0.576,0.000,0
sample,idle,2097152,38,access,37.520,0.000,0
sample,idle,2097152,38,unmap,64.447,0.000,0
sample,idle,2097152,38,release,26.864,0.000,0
sample,idle,2097152,39,create,53.295,0.000,0
sample,idle,2097152,39,map,0.592,0.000,0
sample,idle,2097152,39,access,37.536,0.000,0
sample,idle,2097152,39,unmap,62.927,0.000,0
sample,idle,2097152,39,release,27.328,0.000,0
sample,idle,2097152,40,create,55.616,0.000,0
sample,idle,2097152,40,map,0.624,0.000,0
sample,idle,2097152,40,access,37.887,0.000,0
sample,idle,2097152,40,unmap,62.064,0.000,0
sample,idle,2097152,40,release,25.935,0.000,0
sample,idle,2097152,41,create,53.088,0.000,0
sample,idle,2097152,41,map,0.560,0.000,0
sample,idle,2097152,41,access,37.984,0.000,0
sample,idle,2097152,41,unmap,61.456,0.000,0
sample,idle,2097152,41,release,25.568,0.000,0
sample,idle,2097152,42,create,53.631,0.000,0
sample,idle,2097152,42,map,0.560,0.000,0
sample,idle,2097152,42,access,35.744,0.000,0
sample,idle,2097152,42,unmap,62.847,0.000,0
sample,idle,2097152,42,release,25.472,0.000,0
sample,idle,2097152,43,create,53.039,0.000,0
sample,idle,2097152,43,map,0.528,0.000,0
sample,idle,2097152,43,access,36.240,0.000,0
